Contestant,Question,Label
Aaron Gold,"According to Good Housekeeping, most homeowners have to do all but which of these chores once a year?",in-situ
Aaron Gold,"""There is a Sucker Born Ev'ry Minute"" and ""Join the Circus"" are two  songs in what Broadway musical?",in-situ
Aaron Gold,"Until it adopted the euro in 2002, fittingly, what nation's coins featured the year depicted in Roman numerals?",wh-subject
Aaron Gold,Which of these is the correct spelling of what one poll found to be the most commonly misspelled word in the English language?,wh-subject
Aaron Hauck,"In 2006, the WHO reported that thousands of people are harmed each year by exposure to what heavenly body?",in-situ
Aaron Hauck,"A woman who wishes to bear children is often said to hear the ""ticking"" of what type of ""clock""?",in-situ
Aaron Hauck,"The common expression, ""loose lips sink ships"" warns against the ill effects of what activity?",in-situ
Aaron Hauck,"Of the 10.5 billion ATM transactions that occurred across the U.S. in 2005, almost 80 percent of them involved a what?",in-situ
Aaron Hauck,Which of these blockbuster movies features a bald-headed baddie named Lex Luthor as its main villain?,wh-subject
Aaron Hauck,The historic River Shannon is the longest river in what country?,in-situ
Aaron Hauck,"A famous joke by comedian Groucho Marx begins with the line,""One morning I shot an elephant in my"" what?",in-situ
Aaron Hauck,"A New Orleans favorite, the muffuletta is a variety of what?",in-situ
Aaron Hauck,"Having opposing functions, ""abductors"" and ""adductors"" are two groups of what body part?",in-situ
Aaron Hauck,"What Nobel-winning scientist's daughter, Irene, won the Nobel Prize for chemistry in 1935?",wh-subject
Aaron Rosman,"George Washington Carver patented only three inventions, including what cosmetic made from peanuts?",in-situ
Aaron Rosman,"In 1907, janitor James Spangler invented a device that later became the Hoover vacuum cleaner -- as a way to alleviate his what?",in-situ
Aaron Rosman,"Which ordering of exotic animals corresponds to their appearances in ""The Hangover,"" ""The Hangover Part II"" and ""The Hangover Part III""?",wh-subject
Aaron Rosman,"If philosophers hosted daytime TV, on what show might you hear, ""It is not a lack of love, but a lack of friendship that makes unhappy marriages?",ex-situ
Aaron Zahoran,"If you're doing The Percolator while using a percolator, you are doing what?",in-situ
Aaron Zahoran,"A problem he likely never had, J.P. Morgan is credited with saying ""If you have to ask,"" then what?",in-situ
Aaron Zahoran,"Though they're known chiefly in the U.S. for their electronics, over the past decade another moneymaker for the Sony Corporation has been what product?",in-situ
Aaron Zahoran,"What continent is home to the Wilkins Runway, an aircraft landing strip that was carved from glacial ice and paved with snow?",wh-subject
Aaron Zahoran,"If Subway serves you a ""$5 Footlong"" that's actually only 11 inches long, what's the rough value of the missing inch of sandwich?",wh-subject
Aaron Zahoran,"With notable inductees like Thomas Edison and Albert Einstein, what state has its own Inventors Hall of Fame?",wh-subject
Aaron Zahoran,"Perhaps the first wardrobe malfunction in TV history, in 1977 Yolanda Bowsley popped out of her top as she ran down the aisle of what game show?",in-situ
Aaron Zahoran,"If Rihanna took her shirt off, you would see an elaborate inking of what winged goddess among her bevy of tattoos?",in-situ
Abbey Gropp,"The ""D.C."" in the name of our nation's capital stands for ""District of"" what?",in-situ
Abbey Gropp,"What rock group was nicknamed ""The Fab Four""?",wh-subject
Abbey Gropp,Which of these parts of an oak tree contains most of its chlorophyll?,wh-subject
Abbey Gropp,What type of celestial body is often described as having a head and tail?,wh-subject
Abbey Gropp,"In the U.S., what kind of omelet is traditionally served with chopped green pepper, onion, and tomato?",wh-subject
Abbey Gropp,"""Tale as old as time"" is the opening line of what Oscar-winning song?",in-situ
Abbey Gropp,"In 1964, what gas company began a Christmas tradition when it released a toy truck bearing its logo?",wh-subject
Abbey Gropp,"In 1995, Air Force pilot Scott O'Grady was rescued six days after being shot down over what country?",in-situ
Abbey Gropp,"The 1987 movie ""The Princess Bride"" features a criminal mastermind who often uses what word?",in-situ
Abbey Gropp,"What kind of athletes participate in an event known as the ""Super G""?",wh-subject
Abbey Gropp,What leader traditionally receives a ceremonial gold ring called the Ring of the Fisherman?,wh-subject
Abby Brantley,"With surnames that are often followed by ""dottir"" or ""son,"" what country's phone book lists people by their first name?",wh-subject
Abby Brantley,"Wine, cheese and wisdom appear on Prevention magazine's list of ""50 Things That Get Better With"" what?",in-situ
Abby Brantley,"Not exactly Tour de France material, an early version of the bicycle required to push yourself along with your feet and was called a what?",in-situ
Abby Brantley,"According to Psychology Today, what is the most frequently cited location of a Craigslist Missed Connection?",wh-subject
Abby Brantley,"Classes in medical ""cannabusiness"" are offered at what California institution of ""higher learning""?",in-situ
Abby Brantley,"""The black guy dies first,"" ""the girl always trips while running"" and ""sex gets you killed"" are common clichés of which genre?",in-situ
Abby Brantley,"Which early geological time period got its name because of the assumption that, at the time, it was like hell on Earth?",wh-subject
Abby Brantley,"The Scientist Magazine unveils a bright side to litter, reporting that birds suffer from fewer mites and lice when they line their nests with discarded what?",in-situ
Abby Brantley,"Looking at the Olympic rings, which of these color pairings do not intersect?",wh-subject
Abby Zidle,"Though he hasn't been a boss at Dunder Mifflin for over a year, what comedian owns a general store 25 miles outside of Boston?",wh-subject
Abby Zidle,"According to the EPA, what hemisphere is the greatest contributor to acid rain due to its high amounts of industrial pollution?",wh-subject
Abby Zidle,"Which of these candy brands is sold in a ""Pull n' Peel"" variety?",wh-subject
Abby Zidle,"Which of these poets claimed he used to ""see the President almost every day"" when Lincoln commuted from the White House to his summer cottage?",wh-subject
Abby Zidle,"What does Rihanna have tattooed on her right index finger, put there to save herself from saying it when she puts the finger up to her lips?",ex-situ
Abby Zidle,"Using historical data, Korean researchers have found that men who have been what outlived other men by 14-19 years?",in-situ
Abra Belke,"Opened in 2008, a popular museum in Washington, D.C. shares its name with what classic novel?",in-situ
Abra Belke,The CDC warns against kissing your pet frog because it may carry what disease?,in-situ
Abra Belke,"A person who makes an unpleasant situation worse is often said to be ""fanning the"" what?",in-situ
Abra Belke,What NFL team is named in tribute to the canned meat company that initially funded their uniforms?,wh-subject
Abra Belke,"In 1986, entrepreneur Joseph Segel initialized the words quality, value and convenience to create the name of a well-known what?",in-situ
Abra Belke,"At 175,000 feet, the largest privately owned home in America was built in Asheville, NC by what philanthropist?",in-situ
Abra Belke,"One of the earliest brands of refrigerators, the Kelvinator was named after the discoverer of what?",in-situ
Abra Belke,"In his ""Dogs Playing Poker"" series, Cassius Coolidge painted dogs engaged in other activities, including which of the following?",in-situ
Abra Belke,"A ""frowny"" is a body piercing located where?",in-situ
Abra Belke,"The always popular Chia Pet depends on which of these biological processes to make its ""hair"" grow?",in-situ
Abra Belke,"In 1975, General Mills upset Lucky Charms consumers when they briefly replaced Lucky the Leprechaun with what magical character?",in-situ
Abraham Thornton,"While deodorant is probably a good idea, what does Forbes recommend NOT wearing to a job interview?",ex-situ
Abraham Thornton,"In a 2014 Vanity Fair survey, most people named what potentially very public method as the worst way to break up with someone?",in-situ
Abraham Thornton,Popular ceramics maker LennyMud sells a cheese plate featuring Lionel Richie's face along with what phrase?,in-situ
Abraham Thornton,"According to Scientific American, what ""greedy"" organ accounts for only two percent of the human body's weight but consumes a fifth of its energy?",wh-subject
Abraham Thornton,"After atomic number 86, every element on the periodic table ends in what three letters?",in-situ
Abraham Thornton,"In Angola, LA, if you pass a mandatory background check, you can play golf on what Sports Illustrated calls ""the only course in the country"" on the grounds of a what?",in-situ
Abraham Thornton,Which of the following is NOT currently the name of a country?,wh-subject
Abraham Thornton,"On which classic sitcom were the actors who played the main family's ""mom"" and ""dad"" born on the exact same day: June 21, 1947?",ex-situ
Adam and Leslie Fried,Two people in a perfect relationship are said to be a “match made in” what?,in-situ
Adam and Leslie Fried,The most successful period of a person’s life is known as his what?,in-situ
