,ITEM,CONDITION,EXTRACTION,WH_SITE,QUESTION,SENTENCE,LIST,TYPE
0,1,Extr_whObj,Extr,whObj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Which of these animals do the sounds of the Gray Catbird reportedly mimic the mating call of:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Animal A</td><td style='text-align:center'>C. Animal C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Animal B</td><td style='text-align:center'>D. Animal D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,1,item
1,1,NoExtr_whObj,NoExtr,whObj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>The sounds of the Gray Catbird reportedly mimic the mating call of which of these animals:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Animal A</td><td style='text-align:center'>C. Animal C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Animal B</td><td style='text-align:center'>D. Animal D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,2,item
2,1,Extr_whSubj,Extr,whSubj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Which of these animals does the mating call of reportedly mimic the sounds of the Gray Catbird:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Animal A</td><td style='text-align:center'>C. Animal C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Animal B</td><td style='text-align:center'>D. Animal D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,3,item
3,1,NoExtr_whSubj,NoExtr,whSubj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>The mating call of which of these animals reportedly mimics the sounds of the Gray Catbird:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Animal A</td><td style='text-align:center'>C. Animal C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Animal B</td><td style='text-align:center'>D. Animal D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,4,item
4,2,Extr_whObj,Extr,whObj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Which of these museums did the Governor of New York recently have an affair with the curator of:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Museum A</td><td style='text-align:center'>C. Museum C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Museum B</td><td style='text-align:center'>D. Museum D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,2,item
5,2,NoExtr_whObj,NoExtr,whObj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>The Governor of New York recently had an affair with the curator of which of these museums:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Museum A</td><td style='text-align:center'>C. Museum C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Museum B</td><td style='text-align:center'>D. Museum D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,3,item
6,2,Extr_whSubj,Extr,whSubj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Which of these museums did the curator of recently have an affair with the Governor of New York:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Museum A</td><td style='text-align:center'>C. Museum C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Museum B</td><td style='text-align:center'>D. Museum D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,4,item
7,2,NoExtr_whSubj,NoExtr,whSubj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>The curator of which of these museums recently had an affair with the Governor of New York:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Museum A</td><td style='text-align:center'>C. Museum C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Museum B</td><td style='text-align:center'>D. Museum D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,1,item
8,3,Extr_whObj,Extr,whObj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Which of these Gospels does the beginning of the book of Acts partially overlap with the ending of:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Gospel A</td><td style='text-align:center'>C. Gospel C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Gospel B</td><td style='text-align:center'>D. Gospel D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,3,item
9,3,NoExtr_whObj,NoExtr,whObj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>The beginning of the book of Acts partially overlaps with the ending of which of these Gospels:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Gospel A</td><td style='text-align:center'>C. Gospel C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Gospel B</td><td style='text-align:center'>D. Gospel D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,4,item
