,ITEM,CONDITION,EXTRACTION,NEGATIVITY,QUESTION,SENTENCE,LIST,TYPE
0,1,Extr_Neg,Extr,Neg,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?","<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>In the movie Strange Visitors, how much money did Johnny never pay for pizza?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Price A</td><td style='text-align:center'>C. Price C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Price B</td><td style='text-align:center'>D. Price D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ",1,item
1,1,NoExtr_Neg,NoExtr,Neg,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?","<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>In the movie Strange Visitors, Johnny never paid how much money for pizza?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Price A</td><td style='text-align:center'>C. Price C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Price B</td><td style='text-align:center'>D. Price D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ",2,item
2,1,Extr_Pos,Extr,Pos,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?","<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>In the movie Strange Visitors, how much money did Johnny pay for pizza?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Price A</td><td style='text-align:center'>C. Price C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Price B</td><td style='text-align:center'>D. Price D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ",3,item
3,1,NoExtr_Pos,NoExtr,Pos,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?","<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>In the movie Strange Visitors, Johnny paid how much money for pizza?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Price A</td><td style='text-align:center'>C. Price C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Price B</td><td style='text-align:center'>D. Price D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ",4,item
4,2,Extr_Neg,Extr,Neg,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?","<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>According to the familiar fairy tale, how many bites didn't Father Dormouse take of the wolf's cheese?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Number A</td><td style='text-align:center'>C. Number C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Number B</td><td style='text-align:center'>D. Number D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ",2,item
5,2,NoExtr_Neg,NoExtr,Neg,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?","<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>According to the familiar fairy tale, Father Dormouse didn't take how many bites out of the wolf's cheese?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Number A</td><td style='text-align:center'>C. Number C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Number B</td><td style='text-align:center'>D. Number D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ",3,item
6,2,Extr_Pos,Extr,Pos,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?","<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>According to the familiar fairy tale, how many bites did Father Dormouse take of the wolf's cheese?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Number A</td><td style='text-align:center'>C. Number C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Number B</td><td style='text-align:center'>D. Number D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ",4,item
7,2,NoExtr_Pos,NoExtr,Pos,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?","<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>According to the familiar fairy tale, Father Dormouse took how many bites out of the wolf's cheese?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Number A</td><td style='text-align:center'>C. Number C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Number B</td><td style='text-align:center'>D. Number D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ",1,item
8,3,Extr_Neg,Extr,Neg,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>How many countries doesn't the Library of Congress contain a copy of the constitution of?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Number A</td><td style='text-align:center'>C. Number C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Number B</td><td style='text-align:center'>D. Number D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,3,item
9,3,NoExtr_Neg,NoExtr,Neg,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>The Library of Congress doesn't contain a copy of the constitution of how many countries?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Number A</td><td style='text-align:center'>C. Number C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Number B</td><td style='text-align:center'>D. Number D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,4,item
